Country,id,HDI,Life Expectancy,Expected Years of Schooling,Mean Years of Schooling,GNI Per Capita,GDP per capita
Afghanistan,AFG,0.462,62.9,10.7,2.5,1335.00,1981.710168
Albania,ALB,0.789,76.8,14.5,10.1,15293.00,17097.47836
Algeria,DZA,0.745,77.1,15.5,7,10978.00,14782.2003
Andorra,,0.884,83.6,12.8,11.6,54233.00,63913.38351
Angola,AGO,0.591,61.9,12.2,5.8,5328.00,7397.486427
Antigua and Barbuda,,0.826,79.2,15.5,10.5,18784.00,28033.13078
Argentina,ARG,0.849,76.1,19,11.1,22048.00,27627.96348
Armenia,ARM,0.786,73.4,14.4,11.3,15388.00,17886.17839
Australia,AUS,0.946,83.6,21.1,12.7,49257.00,59845.7858
Austria,AUT,0.926,82.4,16.4,12.3,56530.00,65602.25653
Azerbaijan,AZE,0.76,73.5,12.7,10.6,15018.00,21051.26876
Bahamas,BHS,0.82,74.4,11.9,12.7,32535.00,32408.71186
Bahrain,,0.888,79.2,16.3,11,48731.00,57465.17298
Bangladesh,BGD,0.67,73.7,11.9,7.4,6511.00,7888.163891
Barbados,,0.809,77.7,16.5,9.9,14810.00,18469.57659
Belarus,BLR,0.801,73.2,14,12.2,18425.00,26537.50831
Belgium,BEL,0.942,82.3,18.9,12.5,53644.00,62668.95397
Belize,BLZ,0.7,71,12.4,8.8,9242.00,12569.81794
Benin,BEN,0.504,60,10.3,3.1,3406.00,3588.335259
Bhutan,BTN,0.681,72.2,13.1,5.8,10625.00,14061.31202
Bolivia,BOL,0.698,64.9,15,9.8,7988.00,9681.707427
Bosnia and Herzegovina,BIH,0.779,75.3,13.3,10.5,16571.00,19280.8873
Botswana,BWA,0.708,65.9,11.4,10.4,14842.00,18648.1356
Brazil,BRA,0.76,73.4,15.6,8.3,14616.00,18554.04618
Brunei Darussalam,BRN,0.823,74.6,13.7,9.2,59246.00,76357.8291
Bulgaria,BGR,0.799,71.5,13.9,11.4,25921.00,31536.17007
Burkina Faso,BFA,0.438,59.8,8.1,2.3,2037.00,2466.053314
Burundi,BDI,0.42,62,10,3.3,712.00,829.3871596
Cabo Verde,,0.661,74.7,11.5,6.1,7601.00,8850.106692
Cambodia,KHM,0.6,69.9,11.6,5.2,4291.00,6456.738214
Cameroon,CMR,0.587,61,13.4,6.5,3681.00,4843.650382
Canada,CAN,0.935,82.8,16,13.9,48444.00,57653.6893
Central African Republic,CAF,0.387,54.5,7.3,4,869.00,1137.347266
Chad,TCD,0.394,53,8.2,2.3,1389.00,1688.460175
Chile,CHL,0.86,79.5,16.8,11.1,24431.00,29585.60167
China,CHN,0.788,78.6,15.2,8.1,18025.00,21011.61713
Colombia,COL,0.758,73.7,14.4,8.9,15014.00,18419.0384
Comoros,,0.586,63.7,13,6.2,3261.00,3463.005743
Congo,COG,0.593,63.1,12.4,8.3,2903.00,6205.105041
Congo (Democratic Republic of the),COD,0.481,59.7,9.6,7.2,1080.00,1385.464724
Costa Rica,CRI,0.806,77.3,16.1,8.8,20248.00,24841.54627
Côte d'Ivoire,CIV,0.534,58.9,10.1,4.2,5376.00,6261.533145
Croatia,HRV,0.878,79.2,15.6,12.3,34324.00,39828.03254
Cuba,CUB,0.764,78.2,14.5,10.5,7953.00,
Cyprus,CYP,0.907,81.9,16.2,12.4,40137.00,51622.46875
Czechia,CZE,0.895,78.1,16.3,12.9,39945.00,48346.97121
Denmark,DNK,0.952,81.9,18.8,13,62019.00,70170.22416
Djibouti,DJI,0.515,62.9,8,3.9,4875.00,6083.643682
Dominica,,0.74,73,13.6,9.2,12468.00,16557.64067
Dominican Republic,DOM,0.766,74.2,13.6,9.2,18653.00,22757.38962
Ecuador,ECU,0.765,77.9,14.9,9,10693.00,14263.20398
Egypt,EGY,0.728,70.2,12.9,9.8,12361.00,16360.39078
El Salvador,SLV,0.674,71.5,11.9,7.2,8886.00,11068.92143
Equatorial Guinea,GNQ,0.65,61.2,12.1,8.3,10663.00,16932.77068
Eritrea,ERI,0.493,66.6,7.3,5.1,1957.00,
Estonia,EST,0.899,79.2,15.9,13.5,37152.00,43650.93842
Eswatini (Kingdom of),,0.61,56.4,14.9,5.7,8392.00,9740.065259
Ethiopia,ETH,0.492,65.6,9.9,2.4,2369.00,2655.577916
Fiji,FJI,0.729,68.3,13.8,10.4,11234.00,12762.34658
Finland,FIN,0.942,82.4,19.2,12.9,49522.00,57405.55186
France,FRA,0.91,83.2,16,11.7,47379.00,53643.07585
Gabon,GAB,0.693,65.7,12.4,9.6,11194.00,18662.0498
Gambia,GMB,0.495,62.9,9,4.5,2090.00,2863.180498
Georgia,GEO,0.814,71.6,16.7,12.7,15952.00,20966.52804
Germany,DEU,0.95,81,17.3,14.3,55340.00,62875.20522
Ghana,GHA,0.602,63.9,11.6,6.4,5380.00,6729.274404
Greece,GRC,0.893,80.6,20,11.4,31382.00,35874.23859
Grenada,,0.793,75.3,16.6,9.9,13593.00,16386.46234
Guatemala,GTM,0.629,68.7,10.8,5.7,8996.00,12153.0306
Guinea,GIN,0.471,59,10.2,2.4,2404.00,3792.010688
Guinea-Bissau,GNB,0.483,59.9,10.5,3.7,1880.00,2507.014725
Guyana,GUY,0.742,66,13,8.6,35783.00,37068.19689
Haiti,HTI,0.552,63.7,11.1,5.6,2802.00,3047.651793
Honduras,HND,0.624,70.7,10,7.3,5272.00,6352.587102
Hong Kong, China (SAR),,0.956,84.3,17.8,12.3,62486.00,64036.78704
Hungary,HUN,0.851,75,15.1,12.2,34196.00,40316.56934
Iceland,ISL,0.959,82.8,19.1,13.8,54688.00,65563.92087
India,IND,0.644,67.7,12.6,6.6,6951.00,8544.688884
Indonesia,IDN,0.713,68.3,14,8.6,12046.00,13334.29352
Iran (Islamic Republic of),IRN,0.78,74.6,14.1,10.7,14770.00,15331.33294
Iraq,IRQ,0.673,71.3,12.2,6.8,9092.00,13393.67494
Ireland,IRL,0.95,82.7,19.1,11.7,87468.00,125511.976
Israel,ISR,0.915,82.6,15,13.4,43588.00,48195.65072
Italy,ITA,0.906,84.1,16.7,10.7,44284.00,52206.48662
Jamaica,JAM,0.706,70.6,12.5,9.2,9695.00,10072.04853
Japan,JPN,0.92,84.8,15.5,12.7,43644.00,44970.22171
Jordan,JOR,0.736,74.2,12.6,10.4,9295.00,9266.575474
Kazakhstan,KAZ,0.802,69.5,14.8,12.4,22587.00,33506.26149
Kenya,KEN,0.601,62.1,11.4,7.7,4808.00,5491.693783
Kiribati,,0.628,67.7,11.8,9.1,3440.00,3117.760258
Korea (Republic of),KOR,0.929,84,16.5,12.6,46026.00,49364.49338
Kuwait,KWT,0.847,80.3,15.7,7.4,56729.00,50984.30244
Kyrgyzstan,KGZ,0.701,70.5,13,12,4782.00,6139.778328
Lao People's Democratic Republic,LAO,0.62,69,10.2,5.9,7745.00,8183.032865
Latvia,LVA,0.879,75.9,16.6,13.3,32083.00,37651.0169
Lebanon,LBN,0.723,74.4,12.1,8.6,12313.00,11474.75058
Lesotho,LSO,0.521,53,11.1,7.5,2709.00,2577.545441
Liberia,LBR,0.487,61.1,10.5,5.3,1330.00,1578.998371
Libya,LBY,0.746,72.2,14,7.8,19752.00,11456.07681
Liechtenstein,,0.942,84.7,15.5,12.4,146673.00,
Lithuania,LTU,0.879,74.3,16.4,13.5,38131.00,46609.15587
Luxembourg,LUX,0.927,82.6,14.2,13,78554.00,134507.6675
Madagascar,MDG,0.487,65.2,9.2,4.6,1464.00,1622.610824
Malawi,MWI,0.508,62.9,11.5,5.2,1432.00,1659.959338
Malaysia,MYS,0.807,76.3,12.9,10.7,27295.00,32079.15152
Maldives,,0.762,80.8,12.2,7.8,18847.00,21357.81125
Mali,MLI,0.41,59.4,7,1.6,2044.00,2357.190354
Malta,MLT,0.915,83.7,15.9,12.2,44464.00,57607.55818
Marshall Islands,,0.731,65.1,16.4,12.8,6855.00,6844.334678
Mauritania,MRT,0.54,64.7,8.1,4.8,5344.00,6053.261787
Mauritius,,0.796,74,14.6,10,23252.00,24831.3727
Mexico,MEX,0.781,74.8,14.5,9.2,19138.00,21381.42931
Micronesia (Federated States of),,0.634,70.9,12.6,7.3,3709.00,3874.199055
Moldova (Republic of),MDA,0.763,68.6,14.9,11.8,12964.00,15291.12874
Mongolia,MNG,0.741,72.7,14.5,9.4,10351.00,15310.43495
Montenegro,MNE,0.844,76.8,15.1,12.6,22513.00,25670.03906
Morocco,MAR,0.698,75,14.6,6.1,7955.00,8666.079102
Mozambique,MOZ,0.461,59.6,10.7,3.9,1219.00,1476.665603
Myanmar,MMR,0.608,67.3,12.1,6.5,4038.00,5350.476669
Namibia,NAM,0.61,58.1,11.8,7.2,9200.00,9948.464585
Nauru,,0.696,64,12.6,9.2,14939.00,12467.34689
Nepal,NPL,0.601,70.5,12.6,4.5,4026.00,4763.387511
Netherlands,NLD,0.946,82.5,18.6,12.6,57278.00,71259.65074
New Zealand,NCL,0.939,83,19.7,12.9,43665.00,49224.59411
Nicaragua,NIC,0.669,74.6,12.6,7.3,5427.00,7258.681717
Niger,NER,0.394,62.1,7.2,1.3,1283.00,1717.518915
Nigeria,NGA,0.548,53.6,10.5,7.6,4755.00,5552.83765
North Macedonia,,0.765,73.9,13,10.2,16396.00,22801.6725
Norway,NOR,0.966,83.4,18.6,13.1,69190.00,90756.89577
Oman,OMN,0.819,73.9,13,11.9,32967.00,40366.45823
Pakistan,PAK,0.54,66.4,7.9,4.4,5374.00,5526.279283
Palau,,0.797,65.4,17.2,13,19344.00,15477.55198
Palestine, State of,,0.716,73.4,13.2,9.9,6936.00,
Panama,PAN,0.82,76.8,13.2,10.7,32029.00,33833.02651
Papua New Guinea,PNG,0.568,66,11.1,4.9,3710.00,4125.493036
Paraguay,PRY,0.731,70.5,13.9,8.9,13161.00,15259.14563
Peru,PER,0.762,73.4,14.8,10,11916.00,15548.93162
Philippines,PHL,0.71,72.2,12.8,9,9059.00,9457.103954
Poland,POL,0.881,77,15.9,13.2,35151.00,43365.83176
Portugal,PRT,0.874,82.2,16.8,9.6,35315.00,41033.81135
Qatar,QAT,0.875,81.6,13.3,10.1,95944.00,114740.1236
Romania,ROU,0.827,74.1,14.5,11.4,31641.00,39344.56108
Russian Federation,RUS,0.821,70.1,15.7,12.4,26992.00,38263.61719
Rwanda,RWA,0.548,67.1,11.4,4.9,2317.00,2889.884853
Saint Kitts and Nevis,,0.838,72,18.4,10.8,28442.00,29761.27535
Saint Lucia,,0.725,71.3,12.7,8.6,14778.00,22961.96222
Saint Vincent and the Grenadines,,0.772,69,16.3,11,14049.00,17172.20762
Samoa,,0.702,72.6,12.4,11.4,4970.00,5843.771792
San Marino,,0.867,83.4,12.4,10.5,57687.00,70887.5739
Sao Tome and Principe,,0.613,68.8,12.7,5.9,4054.00,5632.138907
Saudi Arabia,SAU,0.875,77.9,15.2,11.3,50620.00,57351.87439
Senegal,SEN,0.517,67.9,9.1,2.9,3464.00,4227.733418
Serbia,SRB,0.805,74.1,14.5,11.5,19494.00,24612.2339
Seychelles,,0.802,71.7,13.9,11.2,28386.00,28540.76232
Sierra Leone,SLE,0.458,60.4,9,3.5,1613.00,2934.030135
Singapore,,0.949,84.1,16.9,11.9,88761.00,132468.9303
Slovakia,SVK,0.855,75.3,14.7,13,32171.00,38603.55081
Slovenia,SVN,0.926,82.1,17.4,12.9,41587.00,47021.72053
Solomon Islands,SLB,0.562,70.7,10.3,5.9,2273.00,2517.925421
Somalia,SOM,0.38,56.1,7.6,1.9,1072.00,1387.813744
South Africa,ZAF,0.717,61.5,14.3,11.6,13186.00,13777.19275
South Sudan,SSD,0.381,55.6,5.6,5.7,691.00,
Spain,ESP,0.911,83.9,17.8,10.6,40043.00,46633.75311
Sri Lanka,LKA,0.78,76.6,13.6,11.2,11899.00,13249.40852
Sudan,SDN,0.516,65.6,8.5,3.9,3515.00,3132.077148
Suriname,SUR,0.69,70.3,11,8.4,12310.00,18742.58738
Sweden,SWE,0.952,83.5,19,12.7,56996.00,63158.3624
Switzerland,CHE,0.967,84.3,16.6,13.9,69433.00,82128.83561
Syrian Arab Republic,SYR,0.557,72.3,7.4,5.7,3594.00,4454.853733
Tajikistan,TJK,0.679,71.3,10.9,11.3,4807.00,4213.756184
Tanzania (United Republic of),TZA,0.532,66.8,8.6,5.6,2578.00,3546.980957
Thailand,THA,0.803,79.7,15.6,8.8,16887.00,20741.52353
Timor-Leste,,0.566,69.1,13.2,6,1629.00,5344.136952
Togo,,0.547,61.6,13,5.6,2214.00,2662.259171
Tonga,TGO,0.739,71.3,16.3,10.9,6360.00,6901.738556
Trinidad and Tobago,TTO,0.814,74.7,14.1,11.7,22473.00,31323.27726
Tunisia,TUN,0.732,74.3,14.6,8,10297.00,12632.03922
Türkiye,TUR,0.855,78.5,19.7,8.8,32834.00,32718.74682
Turkmenistan,TKM,0.744,69.4,13.2,11.1,12860.00,17119.57449
Tuvalu,,0.653,64.9,12.1,10.6,4754.00,5498.178921
Uganda,UGA,0.55,63.6,11.5,6.2,2241.00,2724.906096
Ukraine,UKR,0.734,68.6,13.3,11.1,11416.00,13787.12109
United Arab Emirates,ARE,0.937,79.2,17.2,12.8,74104.00,68867.82593
United Kingdom,GBR,0.94,82.2,17.6,13.4,46624.00,52842.97636
United States,USA,0.927,78.2,16.4,13.6,65565.00,72841.92431
Uruguay,URY,0.83,78,17.4,9.1,22207.00,30879.92882
Uzbekistan,UZB,0.727,71.7,12,11.9,8056.00,9607.561673
Vanuatu,VUT,0.614,70.5,11.8,7.2,3244.00,3122.640075
Venezuela (Bolivarian Republic of),VEN,0.699,71.1,13.5,9.6,6184.00,
