Country Name,id,GDP per Capita,HDI,Gini Index,Unemployment Rate,Life expectancy at Birth,Infant Mortality rate per 1000,Current Health Expenditure (% of GDP),School enrollment tertiary,Government expenditure on education total (% of GDP),Carbon dioxide (CO2) emissions,Renewable energy consumption,PM2.5 air pollution,Forest area,Control of Corruption,Government Effectiveness,Voice and Accountability,Political Stability,Individuals using the Internet,High-technology exports,Patent applications,Access to electricity,People using safely managed drinking water services,Fixed broadband subscriptions per 100 people,Terrestrial and marine protected areas,Physicians per 1000 people,Prevalence of undernourishment,GDP per Capita Rank,HDI Rank
Switzerland,CHE,83297.82,0.967,-33.7,-4.5,83.4,-3.5,11.77,71.37,5.07,-35.53,27.05,-9.06,32.21,2.01,2.04,1.59,1.13,96.02,21.6,1336,100,96.7,47.47,12.08,4.42,-2.5,5,1
Norway,NOR,94799.54,0.966,N/A,-3.9,82.98,-1.83,9.88,92.91,6.43,-44.56,61.15,-6.06,33.46,2.09,1.86,1.75,1.02,97.9,23.07,913,100,98.88,45,12.01,5.13,-2.5,4,2
Iceland,ISL,66798.79,0.959,N/A,-4.7,82.8,-2.07,9.3,82.03,7.98,-3.15,82.65,-5.11,0.52,1.64,1.55,1.4,1.3,99.69,34.55,39,100,100,37.98,2.81,4.42,-2.5,11,3
Denmark,DNK,70804.18,0.952,-27.9,-5.05,81.44,-3.13,10.29,83.74,6.56,-28.03,39.5,-9.07,15.73,2.34,1.95,1.58,0.89,98.01,15.09,1175.5,100,99.92,44.67,17.9,4.38,-2.5,9,4
Sweden,SWE,63377.13,0.952,-29.35,-8,82.84,-2.07,11.08,82.99,7.75,-37.32,57.85,-5.64,68.7,2.07,1.61,1.52,0.92,94.98,15.99,1767.5,100,99.74,40.64,15.02,4.31,-2.5,15,5
Ireland,IRL,119817.55,0.95,-29.65,-5.19,82.66,-2.77,6.63,76.69,3.13,-34.02,13.2,-8.17,11.41,1.6,1.51,1.44,0.9,94.02,37.24,75,100,95.95,31.29,4.04,3.77,-2.5,2,6
Germany,DEU,64430.1,0.95,-32.4,-3.42,80.85,-3.07,12.76,75.14,5.2,-640.7,18.05,-10.29,32.68,1.77,1.27,1.42,0.65,91.34,16.56,41041,100,99.92,44.34,38.68,4.49,-2.5,13,7
Netherlands,NLD,71574.65,0.946,-25.85,-3.77,81.46,-3.4,11.25,87.36,5.33,-136.01,11.45,-10.89,11,1.95,1.68,1.53,0.78,93.23,22.81,2139,100,99.97,43.11,25.31,3.88,-2.5,8,8
Australia,AUS,62076.17,0.946,N/A,-4.7,83.23,-3.2,10.61,109.69,5.31,-381.42,11.75,-8.25,17.42,1.72,1.54,1.37,0.9,94.85,23.74,2667,100,N/A,36.04,31.55,3.94,-2.5,16,9
Belgium,BEL,63426.59,0.942,-26.3,-5.72,81.39,-3.13,11.12,81.92,6.58,-90.64,12,-11.22,22.6,1.43,1.11,1.29,0.54,93.24,19.53,830.5,100,99.73,42.83,17.69,3.22,-2.5,14,10
Finland,FIN,58225.91,0.942,-27.4,-7.31,81.67,-1.9,9.94,100.76,6.59,-36.83,48.75,-4.9,73.73,2.22,1.83,1.61,0.89,92.87,9.9,1572.5,100,99.64,34.16,13.09,4,-2.5,17,11
United Kingdom,GBR,53908.22,0.94,-32.5,-4.29,81.04,-3.63,11.96,75.59,5.43,-322.02,12.9,-9.91,13.22,1.6,1.24,1.25,0.51,95.14,25.73,11791,100,99.82,41,40.17,3.13,-2.5,22,12
United Arab Emirates,ARE,70660.52,0.937,N/A,-3.11,78.95,-4.53,5.57,58.55,3.94,-202.43,0.95,-36.31,4.47,1.12,1.39,-1.15,0.65,100,8.15,54,100,N/A,36.2,15.92,2.9,-3.07,10,13
