time,10Y2Y_Yield,ISM New Orders,US_GDP_YOY,US_GDP_QOQ,Building Permits,Consumer Confidence,PMI,4-Week MA Initial Unemployment Claims,Unnamed: 9,Unnamed: 10,Unemployment Rate,US CLI,SP500,Unnamed: 14,CPI_YOY,Durable_Goods_YOY,Transport_Equipment_YOY
1976-06-01,0.84,60.6,3.0,6.2,1188000.0,83.3,58.2,393750.0,,,7.8,101.1063,104.279999,,5.9813,,
1976-07-01,1.12,58.0,,,1245000.0,,55.9,390000.0,,,7.6,101.086,103.440002,#REF!,5.5556,,
1976-08-01,1.16,57.7,,,1309000.0,89.7,54.5,388500.0,,,7.7,101.0549,102.910004,#REF!,5.7196,,
1976-09-01,1.22,55.3,2.2,5.0,1481000.0,,53.6,407500.0,,,7.8,101.042,105.239998,#REF!,5.4945,,
1976-10-01,1.39,57.0,,,1425000.0,,53.5,409250.0,,,7.8,101.0711,102.900002,#REF!,5.4645,,
1976-11-01,1.59,55.7,,,1531000.0,87.0,51.7,389500.0,,,7.5,101.1665,102.099998,#REF!,5.0633,,
1976-12-01,1.47,58.9,2.9,4.3,1511000.0,,56.6,373750.0,,,7.6,101.3215,107.459999,#REF!,5.036,,
1977-01-01,1.22,57.2,,,1466000.0,,54.8,407250.0,,,7.4,101.5058,102.029999,#REF!,5.1971,,
1977-02-01,1.37,56.8,,,1560000.0,87.1,55.0,450750.0,,,7.2,101.6953,99.82,#REF!,6.0823,,
1977-03-01,1.41,63.5,4.8,3.2,1660000.0,,58.4,360250.0,,,7.0,101.862,98.419998,#REF!,6.4286,,
1977-04-01,1.31,60.3,,,1660000.0,,56.9,371750.0,,,7.2,101.9733,98.440002,#REF!,6.9519,,
1977-05-01,1.2,64.5,,,1668000.0,90.2,59.7,380250.0,393541.6667,-0.033774484,6.9,102.0219,96.120003,#REF!,6.7376,,
1977-06-01,1.12,58.1,8.0,4.5,1752000.0,,56.8,361250.0,390833.3333,-0.075692964,7.0,102.0086,100.480003,#REF!,6.7019,,
1977-07-01,0.92,58.9,,,1687000.0,,57.7,364250.0,388687.5,-0.062871844,6.8,101.9454,98.849998,#REF!,6.6667,,
1977-08-01,0.69,58.8,,,1780000.0,89.0,54.9,367250.0,386916.6667,-0.050829205,6.8,101.8538,96.769997,-0.05966385,6.6318,,
1977-09-01,0.59,57.0,7.4,5.8,1674000.0,,53.9,368750.0,383687.5,-0.038931422,6.8,101.7617,96.529999,-0.0827632,6.4236,,
1977-10-01,0.39,57.1,,,1758000.0,,55.4,361750.0,379729.1667,-0.047347342,6.4,101.685,92.339996,-0.102623963,6.3903,,
1977-11-01,0.44,59.2,,,1771000.0,84.4,56.1,353500.0,376729.1667,-0.061660123,6.4,101.6252,94.830002,-0.071204663,6.7126,,
1977-12-01,0.56,60.7,0.0,5.0,1754000.0,,59.8,357750.0,375395.8333,-0.047005938,6.3,101.5877,95.099998,-0.115019553,6.6781,,
1978-01-01,0.47,60.6,,,1740000.0,83.7,57.4,351000.0,370708.3333,-0.053163988,6.3,101.5837,89.25,-0.125257269,6.8143,,
1978-02-01,0.47,56.2,,,1736000.0,84.3,55.9,383250.0,365083.3333,0.049760329,6.1,101.6239,87.040001,-0.128030445,6.2395,,
1978-03-01,0.45,56.6,1.3,4.1,1799000.0,78.8,55.0,349000.0,364145.8333,-0.041592768,6.0,101.7414,89.209999,-0.093578533,6.3758,,
1978-04-01,0.27,60.2,,,1948000.0,81.6,57.7,324250.0,360187.5,-0.099774423,5.9,101.9073,96.830002,-0.01635514,6.5,,
1978-05-01,0.3,63.9,,,1766000.0,82.9,60.2,327000.0,355750.0,-0.080815179,6.2,102.0753,97.239998,0.011652049,7.1429,,
1978-06-01,0.14,63.6,16.4,6.1,1983000.0,80.0,60.5,324250.0,352666.6667,-0.08057656,5.9,102.2027,95.529999,-0.049263573,7.438,,
1978-07-01,0.09,64.7,,,1786000.0,82.4,62.2,350750.0,351541.6667,-0.002251985,6.0,102.2652,100.68,0.018512919,7.7303,,
1978-08-01,-0.07,61.3,,,1691000.0,78.4,60.3,348750.0,350000.0,-0.003571429,5.8,102.2534,103.290001,0.067376296,7.856,,
