Word,Hint 1 (Chapter Title),Hint 2 (General Related Word),Hint 3 (Stronger Hint)
ECONOMICS,Introduction to Economics,Decisions,The study of how choices are made given that decision makers face constraints.
SCARCITY,Introduction to Economics,Limited,Wants and needs of decision makers are greater than the limited resources available.
OPPORTUNITY COST,Introduction to Economics,Forgone,What is given up when a choice is made.
MICROECONOMICS,Introduction to Economics,Individual,Studies how specific individuals and firms interact and make decisions.
MACROECONOMICS,Introduction to Economics,Aggregate,Examines the economy as a whole.
POSITIVE STATEMENT,Introduction to Economics,Objective,A statement about how things objectively are.
NORMATIVE STATEMENT,Introduction to Economics,Subjective,A statement about how we think things should be.
MARGINAL ANALYSIS,Introduction to Economics,Additional,Comparing the marginal benefit and marginal cost of a decision.
RATIONAL DECISION MAKERS,Introduction to Economics,Information,Individuals who use all available information to achieve their goals.
EXPLICIT COST,Introduction to Economics,Payment,A direct monetary payment associated with a choice.
IMPLICIT COST,Introduction to Economics,Non-financial,"A non-monetary cost of a decision, often the value of the next best option forgone."
SLOPE,Introduction to Economics (Appendix),Steepness,Change in the Y-variable divided by the change in the X-variable on a graph.
Y INTERCEPT,Introduction to Economics (Appendix),Starting Point,The value of the Y-variable when the X-variable is zero.
DEMAND,Supply and Demand,Consumer,The amount of a good or service that consumers purchase at a particular price.
SUPPLY,Supply and Demand,Producer,The amount of a good that a firm is willing and able to produce at a given price.
EQUILIBRIUM,Supply and Demand,Balance,The point where quantity demanded equals quantity supplied.
LAW OF DEMAND,Supply and Demand,Inverse,Price and quantity demanded of a good or service move in the opposite direction.
LAW OF SUPPLY,Supply and Demand,Direct,"When the price of a good increases, the quantity supplied increases."
COMPLEMENT GOODS,Supply and Demand,Together,"When the price of one good decreases, it causes an increase in demand for another."
SUBSTITUTE GOODS,Supply and Demand,Alternative,"When the price of one good decreases, the demand for the other good also decreases."
PERFECTLY COMPETITIVE MARKET,Supply and Demand,Identical Products,"A market with many buyers and sellers, identical products, and easy entry/exit."
DEMAND SCHEDULE,Supply and Demand,Table,A table showing the quantity demanded of a good at various prices.
SUPPLY SCHEDULE,Supply and Demand,List,A table showing the quantity supplied of a good at various prices.
NORMAL GOOD,Supply and Demand,"Income Rises, Buy More",A good for which demand increases as consumer income rises.
INFERIOR GOOD,Supply and Demand,"Income Rises, Buy Less",A good for which demand decreases as consumer income rises.
MARKET EQUILIBRIUM,Supply and Demand,Intersection,Occurs where the supply and demand curves intersect.
SHORTAGE,Supply and Demand,Not Enough,Occurs when the quantity demanded exceeds the quantity supplied at the current price. (Also Excess Demand)
SURPLUS,Supply and Demand,Too Much,Occurs when the quantity supplied exceeds the quantity demanded at the current price. (Also Excess Supply)
CETERIS PARIBUS,Supply and Demand,All Else Equal,"Latin phrase meaning ""all other things held constant."""
QUANTITY DEMANDED,Supply and Demand,Amount Wanted,The amount of a good or service that consumers purchase at a particular price.
QUANTITY SUPPLIED,Supply and Demand,Amount Offered,The amount of a good that a firm is willing and able to produce at a given price.
PRICE CEILING,Supply and Demand,Max Price,A government-imposed maximum price that can be charged for a good or service.
PRICE FLOOR,Supply and Demand,Min Price,A government-imposed minimum price that can be charged for a good or service.
MARKET FAILURE,Supply and Demand,Inefficient,A situation where the market on its own fails to allocate resources efficiently.
EXTERNALITY,Supply and Demand,Side Effect,A cost or benefit caused by a producer that is not financially incurred or received by that producer.
GDP,Measuring the Macroeconomy,Production,Gross Domestic Product; The total value of all final goods and services produced within a country's borders.
INFLATION,Measuring the Macroeconomy,Prices,The rate at which the general level of prices for goods and services is rising.
UNEMPLOYMENT,Measuring the Macroeconomy,Jobless,The state of being without a paid job but available to work and actively seeking.
CPI,Measuring the Macroeconomy,Basket,Consumer Price Index; the average price of all goods and services that a household consumes.
GDP DEFLATOR,Measuring the Macroeconomy,Nominal vs Real,(Nominal GDP / Real GDP) x 100.
REAL GDP,Measuring the Macroeconomy,Constant Prices,GDP holding prices fixed at the prices in the base year.
NOMINAL GDP,Measuring the Macroeconomy,Current Prices,"Market value of goods and services produced, calculated using current year prices."
FRICTIONAL UNEMPLOYMENT,Measuring the Macroeconomy,Job Search,Unemployment caused by the time-lag involved in workers moving from one job to another.
STRUCTURAL UNEMPLOYMENT,Measuring the Macroeconomy,Mismatch,Occurs when there is a mismatch between worker skills and employer needs.
CYCLICAL UNEMPLOYMENT,Measuring the Macroeconomy,Downturn,Occurs when individuals lose their job because of changes in production (business cycles).
LABOR FORCE,Measuring the Macroeconomy,Employed+Unemployed,The number of employed plus the number of unemployed individuals.
INTERMEDIATE GOODS,Measuring the Macroeconomy,Components,Goods produced and then used in the production of another good.
FINAL GOODS,Measuring the Macroeconomy,End User,Goods and services purchased by the actual user of the product.
EXPENDITURE APPROACH,Measuring the Macroeconomy,Spending Groups,"Method of calculating GDP by summing spending by households, firms, government, and foreigners."
DURABLE GOODS,Measuring the Macroeconomy,Long-lasting,Goods that last a long time (longer than 3 years) and are bought infrequently.
NONDURABLE GOODS,Measuring the Macroeconomy,Consumable,Goods that do not have a long useful life and are purchased frequently.
VALUE ADDED,Measuring the Macroeconomy,Production Stages,The market value a firm adds to a product.
STANDARD OF LIVING,Measuring the Macroeconomy,Well-being,The degree of wealth and material comfort available to a person or community.
FULL EMPLOYMENT,Measuring the Macroeconomy,No Cyclical,An economic state where all available labor resources are being used efficiently.
NATURAL UNEMPLOYMENT,Measuring the Macroeconomy,Frictional+Structural,The sum of frictional and structural unemployment.
LABOR FORCE PARTICIPATION RATE,Measuring the Macroeconomy,Active Workers,(Labor Force / Civilian Population) x 100.
DISCOURAGED WORKERS,Measuring the Macroeconomy,Given Up,Individuals who want a job but have stopped looking because they believe no jobs are available.
AGGREGATE EXPENDITURES,Short-Run Macroeconomic Equilibrium,Total Spending,Total spending in the economy (C + I^P + G + NX).
CONSUMPTION FUNCTION,Short-Run Macroeconomic Equilibrium,Households,Shows the relationship between disposable income (Y−T) and consumption (C).
AUTONOMOUS CONSUMPTION,Short-Run Macroeconomic Equilibrium,Independent,Level of consumption that does not depend on disposable income. (AC)
MPC,Short-Run Macroeconomic Equilibrium,Slope,Marginal Propensity to Consume: The fraction of an additional dollar of disposable income that is spent on consumption.
PLANNED INVESTMENT,Short-Run Macroeconomic Equilibrium,Business Spending,"Spending by firms on new capital and new homes, excluding inventory changes. (IP)"
EXPENDITURE MULTIPLIER,Short-Run Macroeconomic Equilibrium,Ripple Effect,1/(1−MPC); shows how an initial change in spending leads to a larger change in Y.
TAX MULTIPLIER,Short-Run Macroeconomic Equilibrium,Tax Impact,−MPC/(1−MPC); shows how a change in taxes affects equilibrium output.
